'n	a, an.
a	interj. ah!, oh!.
aaklig	a. & adv. awful, beastly, horrible.
aal	eel.
aalmoes	alms, charity; dole.
aalmoesenier	almoner; chaplain.
aalwee	aalwyn (-e), aloe, bitter-aloe.
aam	aum; cf. halfaam.
aambeeld	anvil; incus (in ear).
aambei	haemorrhoids, piles.
aamborstig	asthmatic; husky.
aan	prep., at, against, by, by way of, for, in, in the way of, near, next to, on, of, upon, with, to, up to.; adv. in, on, onwards, upon.
aanbetref	concern.
aanbeveel	recommend.; commend, recommend
aanbevelenswaardig	commendable.
aanbeveling	recommendation; reference.
aanbied	offer, proffer; give, tender.; bid, offer, proffer; give, present, tender; volunteer; render an account
aanbieding	offer, tender; presentation.
aanbind	bind, fasten, tie.
aanblaas	blow; fan, stir up.
aanblik	n. aspect; look; sight, view.; glance (look) at, cast one's eyes (up)on.
aanbly	continue, remain; last.
aanbod	offer, tender; supply.
aanbot	vide aanbod.
aanbou	n. annex(e); construction; erection.; build on to, add on (a new wing).
aanbrand	burn, be (get) burnt; stick (to the pan).
aanbrandsel	crust, crustation.
aanbreek	dawn (day); close in (night); broach; come, be at hand (time).
aanbring	bring, bring on, bring with; construct (a wall), install; make (improvements).
aand	eve, evening, night.
aandadig	implicated in.
aandag	attention, notice.
aandagstreep	dash.
aandagtig	a. attentive.
aandeel	part, portion, share.
aandenking	memory, remembrance; keepsake.
aandoen	cause, give; affect, move, touch; call (touch) at (a port).
aandoening	emotion; touch (of fever).
aandoenlik	moving, touching.
aandra	bring, carry.
aandraai	fasten, tighten; turn on, switch on.
aandrang	pressure; urge, insistence; urgency.
aandring	press, push, urge.
aandryf	float ashore; float along; incite.
aandui	(aange-), indicate, point out; describe, designate; signify.
aanduiding	indication; sign.; indication, intimation; notation, sign
aandurf	dare, venture (upon).
aaneen	vide aanmekaar.
aaneenskakel	connect, couple.
aaneenskakeling	sequence, series, string.
aaneensluiting	closing, joining, uniting; rallying; joint; union.
aangaan	continue, go on, proceed; commence; carry on, go on (like mad); conclude (a treaty), incur (debts), enter into (partnership), lay (a wager), negotiate (a loan); concern, regard.
aangaande	as regards, regarding.
aangebore	inborn, innate.
aangedaan	affected; agitated.
aangee	n. pass (in football).; give, hand, pass (on); record, register; allege (as reason); state particulars, set (the fashion); report (a matter); pass (in football).
aangeklaagde	accused, defendant.
aangeklam	slightly tipsy, squiffy.
aangeleentheid	affair, matter; importance, moment.
aangenaam	agreeable, pleasant.
aangenome	adopted (child, country); taken on.; conj. assuming, supposing.
aangesien	considering, since.
aangesig	countenance, face.
aangeslaan	coated, tarnished.
aangeteken	noted; registered.
aangewese	dependent (up)on, obvious, right.
aangrensend	adjacent, adjoining, bordering on, contiguous
aangroei	grow, increase.
aangryp	catch (hold of), fasten upon (a pretext), grip; jump at (a chance); seize, take.
aangrypend	gripping, touching.
aanhaak	couple, fasten, inspan.
aanhaal	bnng along, carry, fetch, draw tight(er); quote (passage).
aanhaling	quotation.
aanhalingstekens	inverted commas.
aanhang	n. adherents, party; favour, support.; adhere (be attached, cling, stick) to; follow, support; attach.
aanhangig	under consideration, pending.
aanhangsel	addendum, annexure, appendage, appendix (of a book), codicil (of a will), supplement.; supplement
aanhef	n. beginning, opening remarks; preamble; begin, commence; raise, set up (a cry), strike up (a song).; preamble
aanheg	affix, attach.
aanhegsel	addendum, enclosure.
aanhits	egg on, incite.
aanhoor	give a hearing, listen to.
aanhou	continue, hold (on), insist, last, persevere, persist; arrest (a thief); hold up (a train), keep (dog).
aanhoudend	continuous, incessant.
aanjaag	hurry (race, rush) on; drive (animals), urge on (a person).
aankla	accuse (of), charge (with).
aanklaer	-klaagster, accuser; prosecutor.
aanklag	accusation, charge.
aankleef	adhere (stick) to.
aanklop	knock (beat, rap) at the poor.
aanknoop	fasten (to); establish (relations), open (negotiations), begin; enter into conversation.
aankom	come, come along (on, home, in); arrive; begin; come on, improve; come round, call, drop in; matter.
aankomeling	freshman, newcomer.
aankomend	coming; next; prospective.
aankomende	vide aankomend.
aankoms	arrival, coming (in).
aankondig	announce, notify, advertise; foreshadow, herald, spell; review (a book).
aankondiger	announcer.
aankondiging	announcement; notification; (press-) notice, review.
aankoop	acquire, purchase.
aankweek	cultivate, grow, raise, rear; foster.
aankyk	look at.
aanland	arrive, land.
aanlas	add to; join to; join on, lash on to; exaggerate (a story).
aanlê	aim, take aim; apply (a bandage, a standard); build; found, plan, fit up, install; draw up, make (a list); moor, berth (a vessel).
aanleer	acquire, learn.
aanleg	n. plan; plant; ability.
aanlei	lead on; lead to.
aanleiding	cause, inducement, motive.; cause, motive, provocation, reason
aanliggend	contiguous (angle), adjacent (side).; adjacent, adjoining,contiguous
aanlok	attract, tempt.
aanloklik	alluring, tempting.
aanloop	n. patronage.; run (walk) along (on); call, drop in.
aanloopplank	spring-board.
aanmaak	mix, prepare.
aanmaning	exhortation; warning; recurrence, touch.
aanmatigend	arrogant, presumptuous.
aanmatiging	arrogance, presumption.
aanmekaar	together; consecutively.
aanmekaar-	vide aaneen-…
aanmekaarskryf	write as one word, join (letters).
aanmekaarspring	start fighting.
aanmeld	(aange-), announce, report.; announce, report; come forward
aanmeldbaar	notifiable
aanmerklik	considerable.; a. considerable, appreciable, marked
aanmoedig	encourage; give (moral) support to; tempt, lead on,
aanneem	accept, receive; adopt (name, child), assume, take on (a colour), embrace (a faith); admit, confirm (as e member); assume, suppose; agree to, carry (a motion), pass (a bill); undertake, contract for (a work); engage, take on
aanneemlik	acceptable; plausible.
aannemer	contractor; undertaker.
aanneming	acceptance; adoption; admission; confirmation (of church-members); passage (of a bill), carriage (of a motion).
aanpak	seize (upon), catch hold of, grip; undertake; tackle, attack (an enemy) adhere to, form a crust.
aanpaksel	layer (of dirt, etc.), tartar (of teeth).
aanpas	fit (try) on (shoes); adapt.; adapt, accommodate, adjust; fit (try) on (shoes)
aanpassing	adaptation; accommodation; adjustment
aanplak	paste (post) up.
aanplakbiljet	placard, poster, bill.
aanplant	plant, grow.
aanprys	extol, recommend.
aanraai	advise; recommend.; advise, suggest, recommend
aanraak	touch.
aanrand	assault; hold up.
aanrander	assailant, assaulter.
aanranding	assault; hold-up.
aanreik	hand (on), pass, reach.
aanrig	cause, bring about, do.
aanroep	call, hail; invoke.
aanroer	touch; mention, hurry.
aanruk	advance.
aans	by and by, presently.
aansê	announce, inform.
aansien	n. appearance; compiexion; prestige, respect.; look at; consider, regard.
aansienlik	considerable; notable; handsome.
aansies = aans.	
aansit	sit at table, sit down (to dinner); put on (a ring); add, join; set (dogs) on, incite; start (motor).
aansitter	self-starter; inciter.
aanskaf	get, purchase, secure.; buy, get, obtain, procure, purchase
aanskou	behold, view.
aanskouing	observation.
aanskoulik	clear; graphic, visible.
aanskryf	demand payment; summon.
aanskrywing	letter of demand; summons, writ.
aanslaan	touch, strike (a note), overreach, click (of a horse); salute; start (of a motor); switch on (lightj; assess, rate (property, taxes); get blurred (steamy, thick) (of pane), get furred (of kettle, tongue), tarnish (of metal); knock-on (
aanslag	touch (piano); stroke; click; attempt, (bomb-)outrage; assessment; sediment; fur, furring, scale (in kettle); fur (on tongue); knock-on (in football).
aansluit	connect; join; unite.
aansluiting	joining, junction, connection, affiliation.
aansmeer	smear (over); apply (ointment).
aansoek	application, request; proposal.
aanspoel	drift (wash) ashore, wash up.
aanspoor	spur on, urge on.
aansporing	encouragement; incitement; incentive, stimulus.
aanspraak	claim, title; company.
aanspreek	address; accost.
aanspreeklik	accountable, liable, responsible.
aanstaan	please, like, suit.
aanstaande	n. fiance(e).; approaching (marriage), prospective (father-in-law).
aanstaar	gaze (stare) at.
aanstalte	preparation(s).
aanstap	walk on along.
aansteek	pin on (a flower), put on (a ring); light (a lamp), kindle (a fire); set fire to; infect; get infection.
aansteeklik	catching, infectious.
aanstel	appoint (to a post); pretend; give oneself airs.; appoint; pretend
aanstellerig	(-e); affected, full of airs.
aanstellings	airs.
aanstip	jot down; touch (on).
